STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/15/15,9.17,,0.4,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/16/15,4.7,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/17/15,9.84,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/18/15,10.29,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/19/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/20/15,9.17,,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/21/15,6.04,,1.72,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/22/15,5.82,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/23/15,11.41,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/24/15,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/25/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/26/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/27/15,7.16,,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/28/15,17.9,,1.43,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/29/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/30/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/1/15,11.18,,0.54,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/2/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/3/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/4/15,4.47,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/5/15,8.05,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/6/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/7/15,10.51,,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/8/15,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/9/15,8.05,,0.15,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/10/15,7.61,,1.12,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/11/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/12/15,8.95,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/13/15,6.49,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/14/15,8.05,,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/15/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/16/15,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/17/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/18/15,10.96,,0.14,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/19/15,9.4,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/20/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/21/15,6.49,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/22/15,11.63,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/23/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/24/15,8.72,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/25/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/26/15,8.28,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/27/15,8.05,,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/28/15,8.05,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/29/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/30/15,14.32,,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/31/15,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/1/15,10.51,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/2/15,11.41,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/3/15,12.75,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/4/15,9.4,,0.49,0
