date,avgprcp
2010-02-28,0
2010-03-01,79
2010-03-02,0
2010-03-03,5
2010-03-04,15
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,20
2010-03-12,0
2010-03-13,373
2010-03-14,864
2010-03-15,536
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,20
2010-03-23,564
2010-03-24,5
2010-03-25,0
2010-03-26,43
2010-03-27,0
2010-03-28,0
2010-03-29,498
2010-03-30,744
2010-03-31,10
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,224
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,99
2010-04-17,38
2010-04-18,20
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,38
2010-04-23,3
2010-04-24,0
2010-04-25,0
2010-04-26,8
2010-04-27,15
2010-04-28,8
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,5
2010-05-04,5
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,305
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,119
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,224
2010-05-19,51
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,15
2010-05-27,13
2010-05-28,0
2010-05-29,0
2010-05-30,0
2010-05-31,0
2010-06-01,109
2010-06-02,0
2010-06-03,178
2010-06-04,0
2010-06-05,180
2010-06-06,180
2010-06-07,0
2010-06-08,0
2010-06-09,10
2010-06-10,25
2010-06-11,0
2010-06-12,46
2010-06-13,5
2010-06-14,0
2010-06-15,0
2010-06-16,5
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,41
2010-06-21,0
2010-06-22,0
2010-06-23,15
2010-06-24,13
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,419
2010-07-11,3
2010-07-12,64
2010-07-13,10
2010-07-14,28
2010-07-15,0
2010-07-16,5
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,13
2010-07-22,0
2010-07-23,124
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,10
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,251
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,18
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,53
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,61
2010-08-23,178
2010-08-24,198
2010-08-25,701
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,86
2010-09-04,5
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,71
2010-09-09,0
2010-09-10,0
2010-09-11,0
2010-09-12,0
2010-09-13,25
2010-09-14,13
2010-09-15,0
2010-09-16,36
2010-09-17,38
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,0
2010-09-22,0
2010-09-23,0
2010-09-24,0
2010-09-25,0
2010-09-26,0
2010-09-27,10
2010-09-28,173
2010-09-29,0
2010-09-30,0
2010-10-01,89
2010-10-02,0
2010-10-03,0
2010-10-04,130
2010-10-05,23
2010-10-06,328
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,13
2010-10-13,0
2010-10-14,66
2010-10-15,300
2010-10-16,0
2010-10-17,0
2010-10-18,0
2010-10-19,0
2010-10-20,0
2010-10-21,5
2010-10-22,0
2010-10-23,0
2010-10-24,3
2010-10-25,3
2010-10-26,0
2010-10-27,33
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,198
2010-11-05,97
2010-11-06,0
2010-11-07,36
2010-11-08,109
2010-11-09,15
2010-11-10,18
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,10
2010-11-17,229
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,41
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,97
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,292
2010-12-13,43
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,48
2010-12-21,3
2010-12-22,8
2010-12-23,18
2010-12-24,0
2010-12-25,0
2010-12-26,231
2010-12-27,178
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-02-28,160
2011-03-01,0
2011-03-02,5
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,18
2011-03-07,104
2011-03-08,0
2011-03-09,0
2011-03-10,5
2011-03-11,132
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,137
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,41
2011-03-22,0
2011-03-23,0
2011-03-24,3
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,89
2011-04-01,114
2011-04-02,0
